doc_id,title,category,sub_category,source_name,source_url,language,license_or_usage_notes,created_at,updated_at,local_path,summary,tags
kb-0001,Investing vs Saving: Key Differences,investing_foundations,basics,mixed (search),https://zerodha.com/varsity/chapter/the-need-to-invest/,en,Stored as paraphrased notes + links. Avoid verbatim copying.,2025-12-17T13:48:36Z,2025-12-17T13:48:36Z,data/kb/docs/kb-0001-what-is-investing-vs-saving.md,"Saving means setting money aside safely for short-term use, often with low risk and low returns. Investing involves using money to buy assets with the goal of growing it over time but carries higher risk and potential rewards.","investing_foundations,basics"
kb-0002,Investing vs Saving: Key Differences,investing_foundations,basics,mixed (search),https://zerodha.com/varsity/chapter/the-need-to-invest/,en,Stored as paraphrased notes + links. Avoid verbatim copying.,2025-12-17T15:54:24Z,2025-12-17T15:54:24Z,data/kb/docs/kb-0002-what-is-investing-vs-saving.md,"Saving means putting money aside safely for short-term needs with low risk. Investing involves using money to buy assets that may grow in value over time but carry higher risk. Investing aims for higher returns, while saving focuses on security.","investing_foundations,basics"
kb-0003,Risk vs Return: Why Higher Return Requires Higher Risk,investing_foundations,basics,mixed (search),https://www.investopedia.com/terms/r/riskreturntradeoff.asp,en,Stored as paraphrased notes + links. Avoid verbatim copying.,2025-12-17T15:54:34Z,2025-12-17T15:54:34Z,data/kb/docs/kb-0003-risk-vs-return-why-higher-return-needs-higher-risk.md,"Investing follows a key principle: to earn higher returns, you must accept higher risk. Lower-risk investments offer more safety but generally provide smaller profits. Understanding this balance helps investors make smarter choices based on their goals and comfort with risk.","investing_foundations,basics"
kb-0004,Understanding Compounding: How Money Grows Over Time,investing_foundations,basics,mixed (search),https://www.investopedia.com/terms/c/compoundinterest.asp,en,Stored as paraphrased notes + links. Avoid verbatim copying.,2025-12-17T15:54:45Z,2025-12-17T15:54:45Z,data/kb/docs/kb-0004-compounding-how-money-grows-over-time.md,"Compounding means earning interest on both your initial money and the interest already earned. This process helps your money grow faster over time because you earn ""interest on interest."" The more often interest is added, the faster the growth.","investing_foundations,basics"
kb-0005,Time Horizon and Its Importance in Investing,investing_foundations,basics,mixed (search),https://www.investopedia.com/terms/t/timehorizon.asp,en,Stored as paraphrased notes + links. Avoid verbatim copying.,2025-12-17T15:54:58Z,2025-12-17T15:54:58Z,data/kb/docs/kb-0005-time-horizon-and-why-it-matters.md,"Time horizon is the length of time you plan to hold an investment to meet financial goals. It helps determine how much risk you can take and what types of investments are suitable. Longer horizons usually allow more risk for higher potential returns, while shorter horizons favor safer choices.","investing_foundations,basics"
kb-0006,Inflation and Its Impact on Purchasing Power,investing_foundations,basics,mixed (search),https://www.investopedia.com/terms/p/purchasingpower.asp,en,Stored as paraphrased notes + links. Avoid verbatim copying.,2025-12-17T15:55:12Z,2025-12-17T15:55:12Z,data/kb/docs/kb-0006-inflation-and-purchasing-power.md,"Inflation means prices of goods and services go up over time. This causes money to lose value, reducing what you can buy with the same amount. Purchasing power shows how much your money can buy and it falls when inflation rises.","investing_foundations,basics"
kb-0007,Nominal vs Real Returns,investing_foundations,basics,mixed (search),https://www.investopedia.com/ask/answers/032515/what-difference-between-real-and-nominal-interest-rates.asp,en,Stored as paraphrased notes + links. Avoid verbatim copying.,2025-12-17T15:55:24Z,2025-12-17T15:55:24Z,data/kb/docs/kb-0007-nominal-vs-real-returns.md,"Nominal returns show the stated earnings on investments without adjusting for inflation. Real returns account for inflation, showing the actual gain in purchasing power.","investing_foundations,basics"
kb-0008,Common Types of Asset Classes,investing_foundations,basics,mixed (search),https://zerodha.com/varsity/chapter/asset-allocation-an-introduction/,en,Stored as paraphrased notes + links. Avoid verbatim copying.,2025-12-17T15:55:40Z,2025-12-17T15:55:40Z,data/kb/docs/kb-0008-types-of-asset-classes-equity-debt-cash-gold-real-estate.md,"Asset classes group investments with similar features and market behavior. Main types include equities, debt, cash, gold, and real estate, each with unique risk and return profiles.","investing_foundations,basics"
kb-0009,Liquidity and Its Importance,investing_foundations,basics,mixed (search),https://www.investopedia.com/terms/l/liquidity.asp,en,Stored as paraphrased notes + links. Avoid verbatim copying.,2025-12-17T15:55:50Z,2025-12-17T15:55:50Z,data/kb/docs/kb-0009-liquidity-and-why-it-matters.md,"Liquidity shows how easily an asset can be turned into cash without changing its market price. It matters because it helps investors buy or sell quickly and at fair prices, reducing costs and risks.","investing_foundations,basics"
kb-0010,Diversification in Investing,investing_foundations,basics,mixed (search),https://www.investopedia.com/terms/d/diversification.asp,en,Stored as paraphrased notes + links. Avoid verbatim copying.,2025-12-17T15:56:05Z,2025-12-17T15:56:05Z,data/kb/docs/kb-0010-diversification-concept-simple-example.md,"Diversification means spreading investments across different types to reduce risk. It helps balance losses and gains, aiming for steadier returns over time.","investing_foundations,basics"
